"Environmental domains";"Environmental activities";"Periods";"Labour input of employed persons (1 000 years of employment)";"Output at basic prices (mln euros)";"Gross value added at basic prices (mln euros)"
"Environmental domains, total";"Total sector environment";"2001*";123,2;19730;9109
"Environmental domains, total";"Total sector environment";"2002*";125,9;20979;9582
"Environmental domains, total";"Total sector environment";"2003*";125,5;21704;9884
"Environmental domains, total";"Total sector environment";"2004*";120,6;21993;10217
"Environmental domains, total";"Total sector environment";"2005*";118,6;22684;10734
"Environmental domains, total";"Total sector environment";"2006*";125,1;24655;11697
"Environmental domains, total";"Total sector environment";"2007*";127;26399;12424
"Environmental domains, total";"Total sector environment";"2008*";129,1;29044;13658
"Environmental domains, total";"Total sector environment";"2009*";133,9;28403;13476
"Environmental domains, total";"Total sector environment";"2010*";135,6;30060;14522
"Environmental domains, total";"Total sector environment";"2011*";139,7;32532;15318
"Environmental domains, total";"Total sector environment";"2012*";135,4;33347;15417
"Environmental domains, total";"Total sector environment";"2013*";138,4;33956;15496
"Environmental domains, total";"Total sector environment";"2014*";137,6;35049;16200
"Environmental domains, total";"Total sector environment";"2015*";140;35694;16737
"Environmental domains, total";"Energy systems and energy conservation";"2001*";12,9;3317;1158
"Environmental domains, total";"Energy systems and energy conservation";"2002*";13,7;3595;1254
"Environmental domains, total";"Energy systems and energy conservation";"2003*";13,4;3697;1253
"Environmental domains, total";"Energy systems and energy conservation";"2004*";13,5;3462;1241
"Environmental domains, total";"Energy systems and energy conservation";"2005*";13,2;3413;1220
"Environmental domains, total";"Energy systems and energy conservation";"2006*";13,1;3515;1184
"Environmental domains, total";"Energy systems and energy conservation";"2007*";14,2;3993;1304
"Environmental domains, total";"Energy systems and energy conservation";"2008*";16;4762;1524
"Environmental domains, total";"Energy systems and energy conservation";"2009*";16,6;4395;1476
"Environmental domains, total";"Energy systems and energy conservation";"2010*";17,5;4512;1588
"Environmental domains, total";"Energy systems and energy conservation";"2011*";18,6;5042;1652
"Environmental domains, total";"Energy systems and energy conservation";"2012*";19,6;5382;1731
"Environmental domains, total";"Energy systems and energy conservation";"2013*";21,8;5973;1949
"Environmental domains, total";"Energy systems and energy conservation";"2014*";21,7;6399;2110
"Environmental domains, total";"Energy systems and energy conservation";"2015*";23,8;7291;2498
"Environmental domains, total";"Production of renewable energy";"2001*";0,8;156;107
"Environmental domains, total";"Production of renewable energy";"2002*";0,9;193;135
"Environmental domains, total";"Production of renewable energy";"2003*";0,9;239;165
"Environmental domains, total";"Production of renewable energy";"2004*";1;476;364
"Environmental domains, total";"Production of renewable energy";"2005*";1,2;906;740
"Environmental domains, total";"Production of renewable energy";"2006*";1,3;1015;823
"Environmental domains, total";"Production of renewable energy";"2007*";1,5;1035;780
"Environmental domains, total";"Production of renewable energy";"2008*";1,8;1389;1077
"Environmental domains, total";"Production of renewable energy";"2009*";2,1;1696;1226
"Environmental domains, total";"Production of renewable energy";"2010*";2,2;1778;1113
